Study.reference,Study_ID,Name.of.study.area,Region,Intertidal_Subtidal,Depth (m),SBT (deg C),POC (g Corg m-2 yr-1),PP (mg C m-2 d-1),Habitat description from paper,Habitat type,Folk_category,Biogenic (%),Gravel (%),Sand (%),Mud (%),Fishing gear description from paper,Gear.type,PD (cm),f,Smin (m),Area of one disturbed plot (m2),FishHist,Metric,Macrofauna / Meiofauna,Gear used to sample the benthos ,Infauna / Epifauna,Scavenger.effect,Time,Method,Mean_BefCtrl,SD_BefCtrl,n_BefCtrl,Mean_BefImpt,SD_BefImpt,n_BefImpt,Mean_AftCtrl,SD_AftCtrl,n_AftCtrl,Mean_AftImpt,SD_AftImpt,n_AftImpt,Author,Year,notes
"Wynberg, R.P. & Branch, G.M. 1994. Disturbance associated with bait-collection for sandprawns (Callianassa kraussi) and mudprawns (Upogebia africana): Long-term effects on the biota of intertidal sandflats. Journal of Marine Research 52:523-558",61.1.1,"Klein Ooesterwal, Langebaan Lagoon",South Africa,I,0,13.14,128.36,4360.82,Tidal Sandflats,S,S,0,0,95,5,Spade digging,Dg,15.7,1,3,12,Undisturbed,Species richness,Macrofauna,Macrofauna: 0.1m2 quadrat dug to a depth of 10 cm /  Meiofauna: 85 mL cores of sediment were obtained between 0 - 5cm depth ,infauna,n,2,CI,NA,NA,NA,NA,NA,NA,12.18,3.48,3,8.66,0.4,3,Wynberg,1994,
"Wynberg, R.P. & Branch, G.M. 1994. Disturbance associated with bait-collection for sandprawns (Callianassa kraussi) and mudprawns (Upogebia africana): Long-term effects on the biota of intertidal sandflats. Journal of Marine Research 52:523-558",61.1.1,"Klein Ooesterwal, Langebaan Lagoon",South Africa,I,0,13.14,128.36,4360.82,Tidal Sandflats,S,S,0,0,95,5,Spade digging,Dg,15.7,1,3,12,Undisturbed,Species richness,Macrofauna,Macrofauna: 0.1m2 quadrat dug to a depth of 10 cm /  Meiofauna: 85 mL cores of sediment were obtained between 0 - 5cm depth ,infauna,n,3,CI,NA,NA,NA,NA,NA,NA,12.18,3.48,3,5.96,1.13,3,Wynberg,1994,
"Wynberg, R.P. & Branch, G.M. 1994. Disturbance associated with bait-collection for sandprawns (Callianassa kraussi) and mudprawns (Upogebia africana): Long-term effects on the biota of intertidal sandflats. Journal of Marine Research 52:523-558",61.1.1,"Klein Ooesterwal, Langebaan Lagoon",South Africa,I,0,13.14,128.36,4360.82,Tidal Sandflats,S,S,0,0,95,5,Spade digging,Dg,15.7,1,3,12,Undisturbed,Species richness,Macrofauna,Macrofauna: 0.1m2 quadrat dug to a depth of 10 cm /  Meiofauna: 85 mL cores of sediment were obtained between 0 - 5cm depth ,infauna,n,4,CI,NA,NA,NA,NA,NA,NA,12.23,3.41,3,7.01,1.07,3,Wynberg,1994,
"Wynberg, R.P. & Branch, G.M. 1994. Disturbance associated with bait-collection for sandprawns (Callianassa kraussi) and mudprawns (Upogebia africana): Long-term effects on the biota of intertidal sandflats. Journal of Marine Research 52:523-558",61.1.1,"Klein Ooesterwal, Langebaan Lagoon",South Africa,I,0,13.14,128.36,4360.82,Tidal Sandflats,S,S,0,0,95,5,Spade digging,Dg,15.7,1,3,12,Undisturbed,Species richness,Macrofauna,Macrofauna: 0.1m2 quadrat dug to a depth of 10 cm /  Meiofauna: 85 mL cores of sediment were obtained between 0 - 5cm depth ,infauna,n,18,CI,NA,NA,NA,NA,NA,NA,10.93,1.8,3,11.28,2.68,3,Wynberg,1994,
"Wynberg, R.P. & Branch, G.M. 1994. Disturbance associated with bait-collection for sandprawns (Callianassa kraussi) and mudprawns (Upogebia africana): Long-term effects on the biota of intertidal sandflats. Journal of Marine Research 52:523-558",61.1.1,"Klein Ooesterwal, Langebaan Lagoon",South Africa,I,0,13.14,128.36,4360.82,Tidal Sandflats,S,S,0,0,95,5,Spade digging,Dg,15.7,1,3,12,Undisturbed,Species richness,Macrofauna,Macrofauna: 0.1m2 quadrat dug to a depth of 10 cm /  Meiofauna: 85 mL cores of sediment were obtained between 0 - 5cm depth ,infauna,n,44,CI,NA,NA,NA,NA,NA,NA,15.27,4.68,3,12.25,0.54,3,Wynberg,1994,
"Wynberg, R.P. & Branch, G.M. 1994. Disturbance associated with bait-collection for sandprawns (Callianassa kraussi) and mudprawns (Upogebia africana): Long-term effects on the biota of intertidal sandflats. Journal of Marine Research 52:523-558",61.1.1,"Klein Ooesterwal, Langebaan Lagoon",South Africa,I,0,13.14,128.36,4360.82,Tidal Sandflats,S,S,0,0,95,5,Spade digging,Dg,15.7,1,3,12,Undisturbed,Species richness,Macrofauna,Macrofauna: 0.1m2 quadrat dug to a depth of 10 cm /  Meiofauna: 85 mL cores of sediment were obtained between 0 - 5cm depth ,infauna,n,72,CI,NA,NA,NA,NA,NA,NA,16.62,0.68,3,10.98,2.55,3,Wynberg,1994,
"Wynberg, R.P. & Branch, G.M. 1994. Disturbance associated with bait-collection for sandprawns (Callianassa kraussi) and mudprawns (Upogebia africana): Long-term effects on the biota of intertidal sandflats. Journal of Marine Research 52:523-558",61.1.1,"Klein Ooesterwal, Langebaan Lagoon",South Africa,I,0,13.14,128.36,4360.82,Tidal Sandflats,S,S,0,0,95,5,Spade digging,Dg,15.7,1,3,12,Undisturbed,Species richness,Macrofauna,Macrofauna: 0.1m2 quadrat dug to a depth of 10 cm /  Meiofauna: 85 mL cores of sediment were obtained between 0 - 5cm depth ,infauna,n,149,CI,NA,NA,NA,NA,NA,NA,17.02,1.94,3,12.3,1.66,3,Wynberg,1994,
"Wynberg, R.P. & Branch, G.M. 1994. Disturbance associated with bait-collection for sandprawns (Callianassa kraussi) and mudprawns (Upogebia africana): Long-term effects on the biota of intertidal sandflats. Journal of Marine Research 52:523-558",61.1.1,"Klein Ooesterwal, Langebaan Lagoon",South Africa,I,0,13.14,128.36,4360.82,Tidal Sandflats,S,S,0,0,95,5,Spade digging,Dg,15.7,1,3,12,Undisturbed,Species richness,Macrofauna,Macrofauna: 0.1m2 quadrat dug to a depth of 10 cm /  Meiofauna: 85 mL cores of sediment were obtained between 0 - 5cm depth ,infauna,n,296,CI,NA,NA,NA,NA,NA,NA,16.68,2.94,3,14.24,2.06,3,Wynberg,1994,
"Wynberg, R.P. & Branch, G.M. 1994. Disturbance associated with bait-collection for sandprawns (Callianassa kraussi) and mudprawns (Upogebia africana): Long-term effects on the biota of intertidal sandflats. Journal of Marine Research 52:523-558",61.1.1,"Klein Ooesterwal, Langebaan Lagoon",South Africa,I,0,13.14,128.36,4360.82,Tidal Sandflats,S,S,0,0,95,5,Spade digging,Dg,15.7,1,3,12,Undisturbed,Species richness,Macrofauna,Macrofauna: 0.1m2 quadrat dug to a depth of 10 cm /  Meiofauna: 85 mL cores of sediment were obtained between 0 - 5cm depth ,infauna,n,606,CI,NA,NA,NA,NA,NA,NA,20.28,2.34,3,19.24,1.14,3,Wynberg,1994,
"Wynberg, R.P. & Branch, G.M. 1994. Disturbance associated with bait-collection for sandprawns (Callianassa kraussi) and mudprawns (Upogebia africana): Long-term effects on the biota of intertidal sandflats. Journal of Marine Research 52:523-558",61.1.2,"Klein Ooesterwal, Langebaan Lagoon",South Africa,I,0,13.14,128.36,4360.82,Tidal Sandflats,S,S,0,0,95,5,Prawn Pump,HD,16.11,1,3,12,Undisturbed,Biomass,Macrofauna,Macrofauna: 0.1m2 quadrat dug to a depth of 10 cm /  Meiofauna: 85 mL cores of sediment were obtained between 0 - 5cm depth ,infauna,n,18,CI,NA,NA,NA,NA,NA,NA,1.02,0.23,3,0.96,0.25,3,Wynberg,1994,
"Wynberg, R.P. & Branch, G.M. 1994. Disturbance associated with bait-collection for sandprawns (Callianassa kraussi) and mudprawns (Upogebia africana): Long-term effects on the biota of intertidal sandflats. Journal of Marine Research 52:523-558",61.1.2,"Klein Ooesterwal, Langebaan Lagoon",South Africa,I,0,13.14,128.36,4360.82,Tidal Sandflats,S,S,0,0,95,5,Prawn Pump,HD,16.11,1,3,12,Undisturbed,Biomass,Macrofauna,Macrofauna: 0.1m2 quadrat dug to a depth of 10 cm /  Meiofauna: 85 mL cores of sediment were obtained between 0 - 5cm depth ,infauna,n,44,CI,NA,NA,NA,NA,NA,NA,1.71,0.4,3,0.75,0.28,3,Wynberg,1994,
"Wynberg, R.P. & Branch, G.M. 1994. Disturbance associated with bait-collection for sandprawns (Callianassa kraussi) and mudprawns (Upogebia africana): Long-term effects on the biota of intertidal sandflats. Journal of Marine Research 52:523-558",61.1.2,"Klein Ooesterwal, Langebaan Lagoon",South Africa,I,0,13.14,128.36,4360.82,Tidal Sandflats,S,S,0,0,95,5,Prawn Pump,HD,16.11,1,3,12,Undisturbed,Biomass,Macrofauna,Macrofauna: 0.1m2 quadrat dug to a depth of 10 cm /  Meiofauna: 85 mL cores of sediment were obtained between 0 - 5cm depth ,infauna,n,72,CI,NA,NA,NA,NA,NA,NA,2.2,0.4,3,1.26,0.4,3,Wynberg,1994,
"Wynberg, R.P. & Branch, G.M. 1994. Disturbance associated with bait-collection for sandprawns (Callianassa kraussi) and mudprawns (Upogebia africana): Long-term effects on the biota of intertidal sandflats. Journal of Marine Research 52:523-558",61.1.2,"Klein Ooesterwal, Langebaan Lagoon",South Africa,I,0,13.14,128.36,4360.82,Tidal Sandflats,S,S,0,0,95,5,Prawn Pump,HD,16.11,1,3,12,Undisturbed,Biomass,Macrofauna,Macrofauna: 0.1m2 quadrat dug to a depth of 10 cm /  Meiofauna: 85 mL cores of sediment were obtained between 0 - 5cm depth ,infauna,n,149,CI,NA,NA,NA,NA,NA,NA,3.77,0.34,3,1.85,0.7,3,Wynberg,1994,
"Wynberg, R.P. & Branch, G.M. 1994. Disturbance associated with bait-collection for sandprawns (Callianassa kraussi) and mudprawns (Upogebia africana): Long-term effects on the biota of intertidal sandflats. Journal of Marine Research 52:523-558",61.1.2,"Klein Ooesterwal, Langebaan Lagoon",South Africa,I,0,13.14,128.36,4360.82,Tidal Sandflats,S,S,0,0,95,5,Prawn Pump,HD,16.11,1,3,12,Undisturbed,Biomass,Macrofauna,Macrofauna: 0.1m2 quadrat dug to a depth of 10 cm /  Meiofauna: 85 mL cores of sediment were obtained between 0 - 5cm depth ,infauna,n,296,CI,NA,NA,NA,NA,NA,NA,2.34,0.23,3,1.17,0.31,3,Wynberg,1994,
"Wynberg, R.P. & Branch, G.M. 1994. Disturbance associated with bait-collection for sandprawns (Callianassa kraussi) and mudprawns (Upogebia africana): Long-term effects on the biota of intertidal sandflats. Journal of Marine Research 52:523-558",61.1.2,"Klein Ooesterwal, Langebaan Lagoon",South Africa,I,0,13.14,128.36,4360.82,Tidal Sandflats,S,S,0,0,95,5,Prawn Pump,HD,16.11,1,3,12,Undisturbed,Biomass,Macrofauna,Macrofauna: 0.1m2 quadrat dug to a depth of 10 cm /  Meiofauna: 85 mL cores of sediment were obtained between 0 - 5cm depth ,infauna,n,606,CI,NA,NA,NA,NA,NA,NA,6.53,2.37,3,4.94,0.54,3,Wynberg,1994,
"Wynberg, R.P. & Branch, G.M. 1994. Disturbance associated with bait-collection for sandprawns (Callianassa kraussi) and mudprawns (Upogebia africana): Long-term effects on the biota of intertidal sandflats. Journal of Marine Research 52:523-558",61.1.2,"Klein Ooesterwal, Langebaan Lagoon",South Africa,I,0,13.14,128.36,4360.82,Tidal Sandflats,S,S,0,0,95,5,Prawn Pump,HD,16.11,1,3,12,Undisturbed,Species richness,Macrofauna,Macrofauna: 0.1m2 quadrat dug to a depth of 10 cm /  Meiofauna: 85 mL cores of sediment were obtained between 0 - 5cm depth ,infauna,n,2,CI,NA,NA,NA,NA,NA,NA,12.18,3.48,3,6.96,2.01,3,Wynberg,1994,
"Wynberg, R.P. & Branch, G.M. 1994. Disturbance associated with bait-collection for sandprawns (Callianassa kraussi) and mudprawns (Upogebia africana): Long-term effects on the biota of intertidal sandflats. Journal of Marine Research 52:523-558",61.1.2,"Klein Ooesterwal, Langebaan Lagoon",South Africa,I,0,13.14,128.36,4360.82,Tidal Sandflats,S,S,0,0,95,5,Prawn Pump,HD,16.11,1,3,12,Undisturbed,Species richness,Macrofauna,Macrofauna: 0.1m2 quadrat dug to a depth of 10 cm /  Meiofauna: 85 mL cores of sediment were obtained between 0 - 5cm depth ,infauna,n,3,CI,NA,NA,NA,NA,NA,NA,12.18,3.48,3,7.97,1,3,Wynberg,1994,
"Wynberg, R.P. & Branch, G.M. 1994. Disturbance associated with bait-collection for sandprawns (Callianassa kraussi) and mudprawns (Upogebia africana): Long-term effects on the biota of intertidal sandflats. Journal of Marine Research 52:523-558",61.1.2,"Klein Ooesterwal, Langebaan Lagoon",South Africa,I,0,13.14,128.36,4360.82,Tidal Sandflats,S,S,0,0,95,5,Prawn Pump,HD,16.11,1,3,12,Undisturbed,Species richness,Macrofauna,Macrofauna: 0.1m2 quadrat dug to a depth of 10 cm /  Meiofauna: 85 mL cores of sediment were obtained between 0 - 5cm depth ,infauna,n,4,CI,NA,NA,NA,NA,NA,NA,12.23,3.41,3,5.7,1.28,3,Wynberg,1994,
"Wynberg, R.P. & Branch, G.M. 1994. Disturbance associated with bait-collection for sandprawns (Callianassa kraussi) and mudprawns (Upogebia africana): Long-term effects on the biota of intertidal sandflats. Journal of Marine Research 52:523-558",61.1.2,"Klein Ooesterwal, Langebaan Lagoon",South Africa,I,0,13.14,128.36,4360.82,Tidal Sandflats,S,S,0,0,95,5,Prawn Pump,HD,16.11,1,3,12,Undisturbed,Species richness,Macrofauna,Macrofauna: 0.1m2 quadrat dug to a depth of 10 cm /  Meiofauna: 85 mL cores of sediment were obtained between 0 - 5cm depth ,infauna,n,18,CI,NA,NA,NA,NA,NA,NA,10.93,1.8,3,15.33,1.33,3,Wynberg,1994,
"Wynberg, R.P. & Branch, G.M. 1994. Disturbance associated with bait-collection for sandprawns (Callianassa kraussi) and mudprawns (Upogebia africana): Long-term effects on the biota of intertidal sandflats. Journal of Marine Research 52:523-558",61.1.2,"Klein Ooesterwal, Langebaan Lagoon",South Africa,I,0,13.14,128.36,4360.82,Tidal Sandflats,S,S,0,0,95,5,Prawn Pump,HD,16.11,1,3,12,Undisturbed,Species richness,Macrofauna,Macrofauna: 0.1m2 quadrat dug to a depth of 10 cm /  Meiofauna: 85 mL cores of sediment were obtained between 0 - 5cm depth ,infauna,n,44,CI,NA,NA,NA,NA,NA,NA,15.27,4.68,3,10.28,0.66,3,Wynberg,1994,
"Wynberg, R.P. & Branch, G.M. 1994. Disturbance associated with bait-collection for sandprawns (Callianassa kraussi) and mudprawns (Upogebia africana): Long-term effects on the biota of intertidal sandflats. Journal of Marine Research 52:523-558",61.1.2,"Klein Ooesterwal, Langebaan Lagoon",South Africa,I,0,13.14,128.36,4360.82,Tidal Sandflats,S,S,0,0,95,5,Prawn Pump,HD,16.11,1,3,12,Undisturbed,Species richness,Macrofauna,Macrofauna: 0.1m2 quadrat dug to a depth of 10 cm /  Meiofauna: 85 mL cores of sediment were obtained between 0 - 5cm depth ,infauna,n,72,CI,NA,NA,NA,NA,NA,NA,16.62,0.68,3,11.29,2.55,3,Wynberg,1994,
"Wynberg, R.P. & Branch, G.M. 1994. Disturbance associated with bait-collection for sandprawns (Callianassa kraussi) and mudprawns (Upogebia africana): Long-term effects on the biota of intertidal sandflats. Journal of Marine Research 52:523-558",61.1.2,"Klein Ooesterwal, Langebaan Lagoon",South Africa,I,0,13.14,128.36,4360.82,Tidal Sandflats,S,S,0,0,95,5,Prawn Pump,HD,16.11,1,3,12,Undisturbed,Species richness,Macrofauna,Macrofauna: 0.1m2 quadrat dug to a depth of 10 cm /  Meiofauna: 85 mL cores of sediment were obtained between 0 - 5cm depth ,infauna,n,149,CI,NA,NA,NA,NA,NA,NA,17.02,1.94,3,12.03,4.47,3,Wynberg,1994,
"Wynberg, R.P. & Branch, G.M. 1994. Disturbance associated with bait-collection for sandprawns (Callianassa kraussi) and mudprawns (Upogebia africana): Long-term effects on the biota of intertidal sandflats. Journal of Marine Research 52:523-558",61.1.2,"Klein Ooesterwal, Langebaan Lagoon",South Africa,I,0,13.14,128.36,4360.82,Tidal Sandflats,S,S,0,0,95,5,Prawn Pump,HD,16.11,1,3,12,Undisturbed,Species richness,Macrofauna,Macrofauna: 0.1m2 quadrat dug to a depth of 10 cm /  Meiofauna: 85 mL cores of sediment were obtained between 0 - 5cm depth ,infauna,n,296,CI,NA,NA,NA,NA,NA,NA,16.68,2.94,3,14.94,1.71,3,Wynberg,1994,
"Wynberg, R.P. & Branch, G.M. 1994. Disturbance associated with bait-collection for sandprawns (Callianassa kraussi) and mudprawns (Upogebia africana): Long-term effects on the biota of intertidal sandflats. Journal of Marine Research 52:523-558",61.1.2,"Klein Ooesterwal, Langebaan Lagoon",South Africa,I,0,13.14,128.36,4360.82,Tidal Sandflats,S,S,0,0,95,5,Prawn Pump,HD,16.11,1,3,12,Undisturbed,Species richness,Macrofauna,Macrofauna: 0.1m2 quadrat dug to a depth of 10 cm /  Meiofauna: 85 mL cores of sediment were obtained between 0 - 5cm depth ,infauna,n,606,CI,NA,NA,NA,NA,NA,NA,20.28,2.34,3,16.3,3.88,3,Wynberg,1994,
"Wynberg, R.P. & Branch, G.M. 1994. Disturbance associated with bait-collection for sandprawns (Callianassa kraussi) and mudprawns (Upogebia africana): Long-term effects on the biota of intertidal sandflats. Journal of Marine Research 52:523-558",61.2.1,"Geelbek, Langebaan Lagoon",South Africa,I,0,13.14,128.36,4360.82,Tidal Sandflats,S,S,0,0,95,5,Spade digging,Dg,15.7,1,3,12,Undisturbed,Biomass,Macrofauna,Macrofauna: 0.1m2 quadrat dug to a depth of 10 cm /  Meiofauna: 85 mL cores of sediment were obtained between 0 - 5cm depth ,infauna,n,18,CI,NA,NA,NA,NA,NA,NA,4.58,3.08,3,0.38,0.42,3,Wynberg,1994,
"Wynberg, R.P. & Branch, G.M. 1994. Disturbance associated with bait-collection for sandprawns (Callianassa kraussi) and mudprawns (Upogebia africana): Long-term effects on the biota of intertidal sandflats. Journal of Marine Research 52:523-558",61.2.1,"Geelbek, Langebaan Lagoon",South Africa,I,0,13.14,128.36,4360.82,Tidal Sandflats,S,S,0,0,95,5,Spade digging,Dg,15.7,1,3,12,Undisturbed,Biomass,Macrofauna,Macrofauna: 0.1m2 quadrat dug to a depth of 10 cm /  Meiofauna: 85 mL cores of sediment were obtained between 0 - 5cm depth ,infauna,n,44,CI,NA,NA,NA,NA,NA,NA,3.06,1.87,3,0.53,0.52,3,Wynberg,1994,
"Wynberg, R.P. & Branch, G.M. 1994. Disturbance associated with bait-collection for sandprawns (Callianassa kraussi) and mudprawns (Upogebia africana): Long-term effects on the biota of intertidal sandflats. Journal of Marine Research 52:523-558",61.2.1,"Geelbek, Langebaan Lagoon",South Africa,I,0,13.14,128.36,4360.82,Tidal Sandflats,S,S,0,0,95,5,Spade digging,Dg,15.7,1,3,12,Undisturbed,Biomass,Macrofauna,Macrofauna: 0.1m2 quadrat dug to a depth of 10 cm /  Meiofauna: 85 mL cores of sediment were obtained between 0 - 5cm depth ,infauna,n,72,CI,NA,NA,NA,NA,NA,NA,5.44,1.59,3,0.52,0.28,3,Wynberg,1994,
"Wynberg, R.P. & Branch, G.M. 1994. Disturbance associated with bait-collection for sandprawns (Callianassa kraussi) and mudprawns (Upogebia africana): Long-term effects on the biota of intertidal sandflats. Journal of Marine Research 52:523-558",61.2.1,"Geelbek, Langebaan Lagoon",South Africa,I,0,13.14,128.36,4360.82,Tidal Sandflats,S,S,0,0,95,5,Spade digging,Dg,15.7,1,3,12,Undisturbed,Biomass,Macrofauna,Macrofauna: 0.1m2 quadrat dug to a depth of 10 cm /  Meiofauna: 85 mL cores of sediment were obtained between 0 - 5cm depth ,infauna,n,149,CI,NA,NA,NA,NA,NA,NA,2.52,0.76,3,1.78,1.39,3,Wynberg,1994,
"Wynberg, R.P. & Branch, G.M. 1994. Disturbance associated with bait-collection for sandprawns (Callianassa kraussi) and mudprawns (Upogebia africana): Long-term effects on the biota of intertidal sandflats. Journal of Marine Research 52:523-558",61.2.1,"Geelbek, Langebaan Lagoon",South Africa,I,0,13.14,128.36,4360.82,Tidal Sandflats,S,S,0,0,95,5,Spade digging,Dg,15.7,1,3,12,Undisturbed,Biomass,Macrofauna,Macrofauna: 0.1m2 quadrat dug to a depth of 10 cm /  Meiofauna: 85 mL cores of sediment were obtained between 0 - 5cm depth ,infauna,n,296,CI,NA,NA,NA,NA,NA,NA,4.66,1.3,3,2.78,1.49,3,Wynberg,1994,
"Wynberg, R.P. & Branch, G.M. 1994. Disturbance associated with bait-collection for sandprawns (Callianassa kraussi) and mudprawns (Upogebia africana): Long-term effects on the biota of intertidal sandflats. Journal of Marine Research 52:523-558",61.2.1,"Geelbek, Langebaan Lagoon",South Africa,I,0,13.14,128.36,4360.82,Tidal Sandflats,S,S,0,0,95,5,Spade digging,Dg,15.7,1,3,12,Undisturbed,Biomass,Macrofauna,Macrofauna: 0.1m2 quadrat dug to a depth of 10 cm /  Meiofauna: 85 mL cores of sediment were obtained between 0 - 5cm depth ,infauna,n,606,CI,NA,NA,NA,NA,NA,NA,11.23,1.66,3,7.96,5.44,3,Wynberg,1994,
"Wynberg, R.P. & Branch, G.M. 1994. Disturbance associated with bait-collection for sandprawns (Callianassa kraussi) and mudprawns (Upogebia africana): Long-term effects on the biota of intertidal sandflats. Journal of Marine Research 52:523-558",61.2.1,"Geelbek, Langebaan Lagoon",South Africa,I,0,13.14,128.36,4360.82,Tidal Sandflats,S,S,0,0,95,5,Spade digging,Dg,15.7,1,3,12,Undisturbed,Species richness,Macrofauna,Macrofauna: 0.1m2 quadrat dug to a depth of 10 cm /  Meiofauna: 85 mL cores of sediment were obtained between 0 - 5cm depth ,infauna,n,2,CI,NA,NA,NA,NA,NA,NA,8.22,1.65,3,4.24,2.08,3,Wynberg,1994,
"Wynberg, R.P. & Branch, G.M. 1994. Disturbance associated with bait-collection for sandprawns (Callianassa kraussi) and mudprawns (Upogebia africana): Long-term effects on the biota of intertidal sandflats. Journal of Marine Research 52:523-558",61.2.1,"Geelbek, Langebaan Lagoon",South Africa,I,0,13.14,128.36,4360.82,Tidal Sandflats,S,S,0,0,95,5,Spade digging,Dg,15.7,1,3,12,Undisturbed,Species richness,Macrofauna,Macrofauna: 0.1m2 quadrat dug to a depth of 10 cm /  Meiofauna: 85 mL cores of sediment were obtained between 0 - 5cm depth ,infauna,n,3,CI,NA,NA,NA,NA,NA,NA,8.26,1.54,3,6.98,0.47,3,Wynberg,1994,
"Wynberg, R.P. & Branch, G.M. 1994. Disturbance associated with bait-collection for sandprawns (Callianassa kraussi) and mudprawns (Upogebia africana): Long-term effects on the biota of intertidal sandflats. Journal of Marine Research 52:523-558",61.2.1,"Geelbek, Langebaan Lagoon",South Africa,I,0,13.14,128.36,4360.82,Tidal Sandflats,S,S,0,0,95,5,Spade digging,Dg,15.7,1,3,12,Undisturbed,Species richness,Macrofauna,Macrofauna: 0.1m2 quadrat dug to a depth of 10 cm /  Meiofauna: 85 mL cores of sediment were obtained between 0 - 5cm depth ,infauna,n,4,CI,NA,NA,NA,NA,NA,NA,8.29,1.49,3,5.28,0.38,3,Wynberg,1994,
"Wynberg, R.P. & Branch, G.M. 1994. Disturbance associated with bait-collection for sandprawns (Callianassa kraussi) and mudprawns (Upogebia africana): Long-term effects on the biota of intertidal sandflats. Journal of Marine Research 52:523-558",61.2.1,"Geelbek, Langebaan Lagoon",South Africa,I,0,13.14,128.36,4360.82,Tidal Sandflats,S,S,0,0,95,5,Spade digging,Dg,15.7,1,3,12,Undisturbed,Species richness,Macrofauna,Macrofauna: 0.1m2 quadrat dug to a depth of 10 cm /  Meiofauna: 85 mL cores of sediment were obtained between 0 - 5cm depth ,infauna,n,18,CI,NA,NA,NA,NA,NA,NA,10.64,2.29,3,8.32,4.3,3,Wynberg,1994,
"Wynberg, R.P. & Branch, G.M. 1994. Disturbance associated with bait-collection for sandprawns (Callianassa kraussi) and mudprawns (Upogebia africana): Long-term effects on the biota of intertidal sandflats. Journal of Marine Research 52:523-558",61.2.1,"Geelbek, Langebaan Lagoon",South Africa,I,0,13.14,128.36,4360.82,Tidal Sandflats,S,S,0,0,95,5,Spade digging,Dg,15.7,1,3,12,Undisturbed,Species richness,Macrofauna,Macrofauna: 0.1m2 quadrat dug to a depth of 10 cm /  Meiofauna: 85 mL cores of sediment were obtained between 0 - 5cm depth ,infauna,n,44,CI,NA,NA,NA,NA,NA,NA,13.34,2.08,3,6.59,2.1,3,Wynberg,1994,
"Wynberg, R.P. & Branch, G.M. 1994. Disturbance associated with bait-collection for sandprawns (Callianassa kraussi) and mudprawns (Upogebia africana): Long-term effects on the biota of intertidal sandflats. Journal of Marine Research 52:523-558",61.2.1,"Geelbek, Langebaan Lagoon",South Africa,I,0,13.14,128.36,4360.82,Tidal Sandflats,S,S,0,0,95,5,Spade digging,Dg,15.7,1,3,12,Undisturbed,Species richness,Macrofauna,Macrofauna: 0.1m2 quadrat dug to a depth of 10 cm /  Meiofauna: 85 mL cores of sediment were obtained between 0 - 5cm depth ,infauna,n,72,CI,NA,NA,NA,NA,NA,NA,17.81,2.01,3,9.21,2.01,3,Wynberg,1994,
"Wynberg, R.P. & Branch, G.M. 1994. Disturbance associated with bait-collection for sandprawns (Callianassa kraussi) and mudprawns (Upogebia africana): Long-term effects on the biota of intertidal sandflats. Journal of Marine Research 52:523-558",61.2.1,"Geelbek, Langebaan Lagoon",South Africa,I,0,13.14,128.36,4360.82,Tidal Sandflats,S,S,0,0,95,5,Spade digging,Dg,15.7,1,3,12,Undisturbed,Species richness,Macrofauna,Macrofauna: 0.1m2 quadrat dug to a depth of 10 cm /  Meiofauna: 85 mL cores of sediment were obtained between 0 - 5cm depth ,infauna,n,149,CI,NA,NA,NA,NA,NA,NA,15.96,3.14,3,15.96,2.67,3,Wynberg,1994,
"Wynberg, R.P. & Branch, G.M. 1994. Disturbance associated with bait-collection for sandprawns (Callianassa kraussi) and mudprawns (Upogebia africana): Long-term effects on the biota of intertidal sandflats. Journal of Marine Research 52:523-558",61.2.1,"Geelbek, Langebaan Lagoon",South Africa,I,0,13.14,128.36,4360.82,Tidal Sandflats,S,S,0,0,95,5,Spade digging,Dg,15.7,1,3,12,Undisturbed,Species richness,Macrofauna,Macrofauna: 0.1m2 quadrat dug to a depth of 10 cm /  Meiofauna: 85 mL cores of sediment were obtained between 0 - 5cm depth ,infauna,n,296,CI,NA,NA,NA,NA,NA,NA,15.7,3.83,3,16.64,1.18,3,Wynberg,1994,
"Wynberg, R.P. & Branch, G.M. 1994. Disturbance associated with bait-collection for sandprawns (Callianassa kraussi) and mudprawns (Upogebia africana): Long-term effects on the biota of intertidal sandflats. Journal of Marine Research 52:523-558",61.2.1,"Geelbek, Langebaan Lagoon",South Africa,I,0,13.14,128.36,4360.82,Tidal Sandflats,S,S,0,0,95,5,Spade digging,Dg,15.7,1,3,12,Undisturbed,Species richness,Macrofauna,Macrofauna: 0.1m2 quadrat dug to a depth of 10 cm /  Meiofauna: 85 mL cores of sediment were obtained between 0 - 5cm depth ,infauna,n,606,CI,NA,NA,NA,NA,NA,NA,22.26,2.74,3,20.01,5.92,3,Wynberg,1994,
